"";"id";"Datum_Abgeschickt";"Schlussseite";"Sprache";"Zufallsstartwert";"Datum_erste_aktivität";"Datum_letzte_aktivität";"Alter";"Deutschkenntnisse";"Hauptwohnsitz";"Sehbeeinträchtigung";"Bezug_zum_Gesundheitssystem";"Geschlecht";"Bildungsabschluss";"Bildungsabschluss_Sonstiges";"Wo_Medizinische_Leistung";"Wo_Krankenversicherung";"pol_Orientierung";"Anzahl_pers_Kontakte_mit_Gesundheitssystem";"Systemabhängigkeit_Gruppe";"MC_Anteil";"MC_Quelle";"MC_Jahr_falsch";"MC_Jahr_korrekt";"M_Check_pers_Auswirkung";"M_Check_Erfolg";"M_Check_Kontrollfrage";"Studienziel";"Gesamtzeit"
"58";108;"2026-03-28 17:14:20";12;"de";1668802997;"2026-03-28 17:02:23";"2026-03-28 17:14:20";25;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Bachelorabschluss (Universität/ETH)";NA;"Luzern (LU)";"Luzern (LU)";"3 - Eher links";6;1;"1/4";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2058;"2038";"3";"3";5;"Welche Informationen aus einem Text man eher erinnern und abrufen kann. 
Gibt es Unterschiede zwischen dem erstgelesenen und zweitgelesenen Text. ";790,53
"59";109;"2026-03-28 17:25:43";12;"de";1109858905;"2026-03-28 17:13:11";"2026-03-28 17:25:43";20;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Luzern (LU)";"2 - Links";15;1;"2/5";"Journalist für Keystone-SDA";2038;"2034";"6";"4";5;"Zu analysieren, wie viel sich Menschen merken können mit zwei Texten, die man kurz aufeinander lesen muss sowie ob der Text unsere Meinung beeinflusst.";904,82
"60";110;"2026-03-28 17:30:48";12;"de";175126202;"2026-03-28 17:15:39";"2026-03-28 17:30:48";18;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"2 - Links";10;1;"Keine der oben genannten";"Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL";2038;"2058";"2";"2";5;"Erinnerung ";911,38
"61";115;"2026-03-28 18:23:55";12;"de";670528660;"2026-03-28 18:13:33";"2026-03-28 18:23:55";20;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"4 - Mitte";10;1;"1/3";"Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL";2038;"2058";"4";"5";5;"Herauszufinden wie genau wir artikel lesen aber auch wie uns alltagsthemen beinflussen";584,26
"62";117;"2026-03-28 20:49:32";12;"de";1539282646;"2026-03-28 20:33:04";"2026-03-28 20:49:32";21;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Luzern (LU)";"Keine Angabe";"2 - Links";1;1;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"3";"3";5;"Verhältnis zwischen Lesezeit und Anzahl korrekter Antworten";1064,56
"63";118;"2026-03-28 20:46:39";12;"de";761794828;"2026-03-28 20:34:30";"2026-03-28 20:46:39";25;"Ja";"Ja";"Nein";"Ja";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"2 - Links";17;2;"3/5";"Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL";2038;"2058";"5";"6";5;"Testen, wie genau und aufmerksam Teilnehmende Text lesen";835,23
"64";121;"2026-03-28 23:24:44";12;"de";1129550262;"2026-03-28 23:10:11";"2026-03-28 23:24:44";19;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Obwalden (OW)";"Bern (BE)";"1 - Sehr links";3;2;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2058;"2038";"7 (stimme voll und ganz zu)";"6";5;"Was mit Aufmerksamkeit(?)";702,31
"65";122;"2026-03-29 10:14:43";12;"de";128885385;"2026-03-29 10:05:01";"2026-03-29 10:14:43";21;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Berufsmaturität";NA;"Luzern (LU)";"Luzern (LU)";"3 - Eher links";0;1;"2/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"6";"4";5;"Aufmerksamkeit und Verständnis ";630,09
"66";124;"2026-03-29 12:21:03";12;"de";1584351170;"2026-03-29 11:49:54";"2026-03-29 12:21:03";21;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"4 - Mitte";4;1;"1/3";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"4";"4";5;"Vielleicht wie stark Menschen den politischen Einfluss auf ihr persönliches Leben wahrnehmen und ob sich die Wahrnehmung verändert, sobald konkrete gesellschaftliche Themen genannt werden.  ";1872,23
"67";125;"";11;"de";1905590953;"2026-03-29 12:10:42";"2026-03-29 12:30:54";43;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Masterabschluss (Universität/ETH)";NA;"Zürich (ZH)";"Zürich (ZH)";"2 - Links";10;1;"3/5";"Journalist für Keystone-SDA";2058;"2038";"1 (stimme überhaupt nicht zu)";"1 (stimme überhaupt nicht zu)";5;"Wie Einstellung und Motivation zusammengehören?";1837,78
"68";126;"2026-03-29 12:53:58";12;"de";538743017;"2026-03-29 12:37:34";"2026-03-29 12:53:58";55;"Ja";"Ja";"Nein";"Nein";"Männlich";"Masterabschluss (Universität/ETH)";NA;"St. Gallen (SG)";"St. Gallen (SG)";"2 - Links";4;2;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"6";"5";5;"Qualität des Kurzzeitgedächtnisses / Aufnahmefähigkeit beim Lesen eines Textes ";936,59
"69";127;"";11;"de";203596663;"2026-03-29 12:43:15";"2026-03-29 13:02:03";24;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Aargau (AG)";"Aargau (AG)";"2 - Links";60;1;"1/3";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2058;"2038";"4";"5";5;"Ob Leute die mehr von Gesundheitssystem abhängig sind, sich eher die wahrheit « schönbiegen » mit dem Fachkräftemangel";607,71
"70";128;"2026-03-29 13:16:57";12;"de";1507050194;"2026-03-29 12:59:12";"2026-03-29 13:16:57";23;"Ja";"Ja";"Nein";"Ja";"Weiblich";"Bachelorabschluss (Universität/ETH)";NA;"Bern (BE)";"St. Gallen (SG)";"2 - Links";365;2;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"4";"5";5;"Genaues Lesen, Konzentrationsvermögen";1065,89
"71";129;"2026-03-29 13:51:12";12;"de";991144096;"2026-03-29 13:42:49";"2026-03-29 13:51:12";21;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"2 - Links";3;1;"3/4";"Keine der oben genannten";2038;"2058";"2";"5";5;"Aufmerksamkeit";505,04
"72";130;"2026-03-29 15:13:49";12;"de";2056063231;"2026-03-29 14:54:43";"2026-03-29 15:13:49";21;"Ja";"Ja";"Nein";"Ja";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"4 - Mitte";20;2;"Keine der oben genannten";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"6";"2";5;"Wie gut man sich Namen und Zahlen (Daten, Statistiken, etc..) merkt wenn man einen Text liest. ";1147,8
"73";132;"2026-03-29 15:52:43";12;"de";1975602521;"2026-03-29 15:38:09";"2026-03-29 15:52:43";21;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Luzern (LU)";"Luzern (LU)";"2 - Links";15;2;"1/3";"Journalist für Keystone-SDA";2038;"2058";"6";"5";5;"meine aufmerksamkeit und antwortefähigkeit für fragen zu einem komplexen text zu testen";878,89
"74";134;"2026-03-29 16:59:35";12;"de";676673487;"2026-03-29 16:41:16";"2026-03-29 16:59:35";21;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"3 - Eher links";6;1;"1/3";"Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL";2028;"2058";"3";"6";5;"Druck aus zu üben auf die BAG";1021,77
"75";136;"2026-03-29 16:59:02";12;"de";1257778061;"2026-03-29 16:41:47";"2026-03-29 16:59:02";18;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Luzern (LU)";"Luzern (LU)";"4 - Mitte";2;2;"3/4";"Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL";2038;"2053";"5";"5";5;"evtl. wie sich die Genauigkeit des Lesens auf die Meinung auswirklt";1153,22
"76";137;"";11;"de";1062121425;"2026-03-29 17:22:47";"2026-03-29 17:35:44";20;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Luzern (LU)";"Luzern (LU)";"5 - Eher rechts";1;2;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"6";"1 (stimme überhaupt nicht zu)";5;"evtl. die Aufmerksamkeit zu prüfen, oder Vergleichbzwischen ausgeschriebenen Zahlen und Ziffern";848,43
"77";139;"2026-03-29 20:08:02";12;"de";766614449;"2026-03-29 19:55:35";"2026-03-29 20:08:02";20;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"3 - Eher links";10;2;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"5";"5";5;"Beeinflussung von Texten auf unsere Vorstellungen, wie sehr wir von den Entscheidungen unserer Regierung beeinflusst werden können.";814,6
"78";140;"";11;"de";544347788;"2026-03-29 20:43:29";"2026-03-29 20:59:43";22;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"St. Gallen (SG)";"St. Gallen (SG)";"3 - Eher links";9;2;"Keine der oben genannten";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"6";"5";5;"Den Einfluss von Aufmerksamkeit auf das Textverständnis zu untersuchen? ";976,13
"79";141;"2026-03-29 21:19:41";12;"de";474259474;"2026-03-29 20:49:53";"2026-03-29 21:19:41";21;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"1 - Sehr links";3;2;"1/3";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"5";"7 (stimme voll und ganz zu)";5;"-";1791,92
"80";142;"2026-03-29 21:03:50";12;"de";1351377951;"2026-03-29 20:53:14";"2026-03-29 21:03:50";19;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"2 - Links";3;1;"Keine der oben genannten";"Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL";2038;"2058";"1 (stimme überhaupt nicht zu)";"1 (stimme überhaupt nicht zu)";5;"aufmerksamkeitsspane";638,17
"81";143;"";11;"de";1304940063;"2026-03-29 22:30:49";"2026-03-29 23:02:08";24;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Thurgau (TG)";"2 - Links";6;1;"1/2";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2058;"2038";"3";"2";5;"Lesegenauigkeit bei Zeitlimite";1881,27
"82";145;"";11;"de";1287276406;"2026-03-30 07:16:04";"2026-03-30 07:30:34";20;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Aargau (AG)";"Solothurn (SO)";"1 - Sehr links";6;2;"Keine der oben genannten";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"6";"6";5;"Aufmerksames Lesen und Verstehen von politischen Texten, die einen Effekt auf uns als Bevölkerung haben.";871,63
"83";146;"2026-03-30 08:57:33";12;"de";1355595766;"2026-03-30 08:41:22";"2026-03-30 08:57:33";21;"Ja";"Ja";"Nein";"Nein";"Männlich";"Berufsmaturität";NA;"Zürich (ZH)";"Zürich (ZH)";"5 - Eher rechts";0;2;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2058;"2038";"4";"3";5;"Die Aufmerksamkeit der Leser zu analysieren";975,18
"84";147;"2026-03-30 09:38:38";12;"de";1404180591;"2026-03-30 09:22:02";"2026-03-30 09:38:38";19;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"St. Gallen (SG)";"St. Gallen (SG)";"2 - Links";1;2;"1/4";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"5";"4";5;"-";999,43
"85";148;"";11;"de";1052679408;"2026-03-30 09:43:04";"2026-03-30 09:57:07";40;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Masterabschluss (Universität/ETH)";NA;"Luzern (LU)";"Luzern (LU)";"4 - Mitte";1;2;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2058;"2038";"6";"5";5;"Ich habe es nicht ganz verstanden/mir gemerkt, weil das Ziel der Studie in meiner Erinnerung nicht im Zentrum des Artikels stand, sondern der Fehler der Jahreszahl. Grob erinnert geht es wohl in die Richtung der Versorungssicherheit der Schweizer Bevölkerung";845,11
